index,node_id,type
1087,cs_10917,Paper
1088,cs_10918,Paper
1089,cs_10919,Paper
1090,cs_1092,Paper
1091,cs_10920,Paper
1092,cs_10921,Paper
1093,cs_10922,Paper
1094,cs_10923,Paper
1095,cs_10924,Paper
1096,cs_10925,Paper
1097,cs_10926,Paper
1098,cs_10927,Paper
1099,cs_10928,Paper
1100,cs_10929,Paper
1101,cs_1093,Paper
1102,cs_10930,Paper
1103,cs_10931,Paper
1104,cs_10932,Paper
1105,cs_10933,Paper
1106,cs_10934,Paper
1107,cs_10935,Paper
1108,cs_10936,Paper
1109,cs_10937,Paper
1110,cs_10938,Paper
1111,cs_10939,Paper
1112,cs_1094,Paper
1113,cs_10940,Paper
1114,cs_10941,Paper
1115,cs_10942,Paper
1116,cs_10943,Paper
1117,cs_10944,Paper
1118,cs_10945,Paper
1119,cs_10946,Paper
1120,cs_10947,Paper
1121,cs_10948,Paper
1122,cs_10949,Paper
1123,cs_1095,Paper
1124,cs_10950,Paper
1125,cs_10951,Paper
1126,cs_10952,Paper
1127,cs_10953,Paper
1128,cs_10954,Paper
1129,cs_10955,Paper
1130,cs_10956,Paper
1131,cs_10957,Paper
1132,cs_10958,Paper
1133,cs_10959,Paper
1134,cs_1096,Paper
1135,cs_10960,Paper
1136,cs_10961,Paper
1137,cs_10962,Paper
1138,cs_10963,Paper
1139,cs_10964,Paper
1140,cs_10965,Paper
1141,cs_10966,Paper
1142,cs_10967,Paper
1143,cs_10968,Paper
1144,cs_10969,Paper
1145,cs_1097,Paper
1146,cs_10970,Paper
1147,cs_10971,Paper
1148,cs_10972,Paper
1149,cs_10973,Paper
1150,cs_10974,Paper
1151,cs_10975,Paper
1152,cs_10976,Paper
1153,cs_10977,Paper
1154,cs_10978,Paper
1155,cs_10979,Paper
1156,cs_1098,Paper
1157,cs_10980,Paper
1158,cs_10981,Paper
1159,cs_10982,Paper
1160,cs_10983,Paper
1161,cs_10984,Paper
1162,cs_10985,Paper
1163,cs_10986,Paper
1164,cs_10987,Paper
1165,cs_10988,Paper
1166,cs_10989,Paper
1167,cs_1099,Paper
1168,cs_10990,Paper
1169,cs_10991,Paper
1170,cs_10992,Paper
1171,cs_10993,Paper
1172,cs_10994,Paper
1173,cs_10995,Paper
1174,cs_10996,Paper
